Instancia              Optimo    Tiempo (ms)       Tiempo referencia (ms)
brock200_1.clq           2821           1965.77                 980
brock200_2.clq           1428           14.14                    30
brock200_3.clq           2062           64.40                   100
brock200_4.clq           2107           177.83                  170
c-fat200-1.clq           1284           0.09                      0
c-fat200-2.clq           2411           0.12                      0
c-fat200-5.clq           5887           0.55                     10
c-fat500-1.clq           1354           0.51                      0
c-fat500-10.clq          11586          80.90                    50
c-fat500-2.clq           2628           0.56                     10
c-fat500-5.clq           5841           1.68                     10
C125.9.clq               2529           9353.64                1010
DSJC500_5.clq            1725           1556.80                2460
hamming6-2.clq           1072           0.68                      0
hamming6-4.clq           134            0.11                      0
hamming8-4.clq           1472           349.05                  300
johnson16-2-4.clq        548            496.90                  750
johnson8-2-4.clq         66             0.04                      0
johnson8-4-4.clq         511            2.67                      0
MANN_a9.clq              372            150.70                   40
p_hat1000-1.clq          1514           447.40                 1490
p_hat1500-1.clq          1619           4061.93               10990
p_hat300-1.clq           1057           2.78                     50
p_hat300-2.clq           2487           419.08                  320
p_hat500-1.clq           1231           23.83                   130
p_hat700-1.clq           1441           96.93                   350
sanr200_0.7.clq          2325           497.68                  400
sanr400_0.5.clq          1835           502.26                  820
brock400_2.clq           3350           338853.00            364400
brock400_3.clq           3471           291675.00            316320
brock400_4.clq           3626           232412.00            248830
C250.9.clq               5092           297900.00            304520
gen200_p0.9_44.clq       5043           59041.80              62210
gen200_p0.9_55.clq       5416           19727.90              20480
hamming8-2.clq           10976          33.85                    60
p_hat300-3.clq           3774           8711.58                9130
p_hat500-2.clq           3920           6224.97                6500
p_hat700-2.clq           5290           152243.00            153730
san1000.clq              1716           6843.05                8310
san200_0.9_2.clq         6082           13117.50              13940
san200_0.9_3.clq         4748           111292.00            120230
san400_0.7_1.clq         3941           11982.00              14830
san400_0.7_2.clq         3110           16394.80              20570
san400_0.7_3.clq         2771           17999.40              21900
sanr200_0.9.clq          5126           52238.60              53920
